ID,Gender,Age,Education,SN1,SN2,SN3,SN4,ATT1,ATT2,ATT3,ATT4,PBC1,PBC2,PBC3,PBC4,INT1,INT2,INT3,INT4,BEH1,BEH2,BEH3,BEH4
282,Male,44,3,3,3,3,3,2,2,2,1,2,3,3,3,2,3,2,3,2,3,2,3
283,Male,28,4,2,2,2,2,4,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3
284,Female,25,2,2,2,2,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3
285,Male,23,1,3,3,4,3,3,3,3,3,1,2,1,1,3,2,3,3,3,3,2,3
286,Female,22,3,4,4,4,4,3,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3
287,Female,54,4,2,2,2,2,3,3,3,4,5,4,4,4,3,2,3,3,4,3,3,3
288,Female,60,1,3,3,3,3,3,2,3,2,4,4,3,4,3,3,3,3,3,3,3,3
289,Male,54,3,4,4,3,4,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2
290,Female,58,3,2,2,2,2,3,3,3,2,3,3,3,2,3,2,3,2,3,3,2,3
291,Female,58,2,2,2,2,2,2,3,3,2,3,3,2,3,2,2,3,2,2,2,2,2
292,Male,55,2,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4
293,Female,24,2,3,3,3,3,5,4,4,5,3,3,3,3,3,3,3,3,4,3,3,4
294,Female,31,1,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
295,Male,54,1,2,2,2,1,2,2,3,2,2,2,1,1,2,3,2,2,2,2,2,2
296,Male,19,4,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2
297,Female,54,3,3,4,3,3,3,3,3,4,1,2,2,1,3,3,3,3,2,3,3,3
298,Male,25,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3
299,Female,45,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
300,Female,24,4,3,3,3,3,2,3,3,3,2,3,2,2,2,3,3,3,2,2,2,3
301,Male,20,3,1,2,2,1,4,4,4,5,3,3,3,3,3,3,3,3,3,3,2,3
302,Female,37,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5
303,Female,39,1,4,3,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,3,4,3
304,Female,26,3,3,3,3,3,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4
305,Female,44,4,2,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3
306,Female,53,3,3,3,2,3,2,2,1,2,2,2,3,2,3,2,2,2,2,2,3,2
307,Male,51,3,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4
308,Male,43,2,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3
309,Male,42,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,4,3,3
310,Female,25,1,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3
311,Male,29,4,3,3,2,2,4,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3
312,Male,26,2,3,3,3,3,4,4,4,4,3,3,2,2,3,4,3,3,3,3,3,3
313,Female,32,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
314,Female,35,1,3,2,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
315,Male,26,1,3,3,3,3,3,3,2,2,3,4,4,4,4,4,4,4,3,3,4,4
316,Female,57,4,5,4,4,4,2,2,2,2,1,1,2,1,3,3,3,3,2,2,1,2
317,Female,44,3,3,2,3,2,4,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3
318,Female,29,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,4,3,4
319,Male,51,3,4,4,5,4,2,2,2,2,1,1,2,2,3,3,3,2,2,3,3,2
320,Female,27,3,2,3,3,4,2,2,2,2,3,2,3,2,2,2,2,2,3,3,3,3
321,Male,24,1,4,3,3,3,2,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3
322,Female,38,1,5,4,5,5,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,4
323,Female,19,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4
324,Male,44,2,3,3,2,3,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3
325,Female,31,3,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,2,2,3,2,2
326,Male,26,1,4,4,5,4,2,3,3,2,3,4,4,3,3,3,3,3,3,3,4,4
327,Female,59,4,2,2,2,2,3,3,3,3,2,3,2,3,2,2,2,3,3,2,2,2
328,Male,52,3,3,3,3,3,1,2,1,1,3,3,4,3,2,2,2,2,2,2,2,3
329,Male,42,4,3,3,4,3,3,3,3,3,1,2,2,2,3,3,3,3,3,3,3,3
330,Male,26,1,4,4,3,4,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,3
331,Male,33,3,3,3,3,3,4,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3
332,Female,35,3,2,1,2,2,2,2,2,2,4,4,4,4,2,2,2,2,3,2,3,3
333,Male,60,4,2,3,2,3,4,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4
334,Female,36,2,3,3,3,4,3,4,5,4,3,3,4,3,3,3,4,3,4,3,4,3
335,Male,54,3,3,4,4,3,4,3,4,4,2,3,3,3,3,3,3,4,3,3,3,3
336,Male,57,3,4,4,4,3,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2
337,Male,58,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
338,Male,19,2,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
339,Female,40,3,2,2,2,2,4,3,4,3,2,2,2,2,3,3,3,3,2,2,2,2
340,Male,23,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3
341,Male,31,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
342,Female,50,3,2,1,1,2,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2
343,Male,20,4,4,3,4,4,2,2,2,2,3,3,3,2,2,2,2,2,3,3,2,2
344,Male,60,2,4,3,4,4,3,2,3,2,3,3,4,3,3,3,3,3,3,3,3,3
345,Female,29,2,3,3,3,4,3,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3
346,Female,48,4,4,4,3,3,4,4,4,5,3,2,2,3,3,3,3,3,2,3,3,3
347,Male,28,2,3,3,3,2,4,5,4,4,3,2,2,2,3,3,3,3,2,3,2,2
348,Male,42,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,3,3
349,Female,22,1,2,1,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,3,2,3
350,Male,22,1,4,5,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3
351,Female,46,4,2,2,2,2,4,3,4,3,3,2,3,2,3,3,2,2,3,3,2,3
352,Male,51,2,3,2,3,3,4,5,4,4,4,5,4,4,4,4,4,5,3,4,4,4
353,Female,46,1,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3
354,Female,20,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3
355,Female,57,4,2,3,3,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2
356,Female,23,3,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3
357,Male,60,4,3,4,3,3,3,2,2,3,3,4,4,4,3,3,3,4,3,3,4,4
358,Male,21,4,2,2,2,3,2,2,2,3,2,3,3,3,2,2,3,2,3,3,2,3
359,Female,18,2,4,4,4,3,4,4,4,3,3,3,2,2,4,3,4,3,4,3,3,3
360,Female,55,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2
361,Female,18,3,4,4,3,4,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2
362,Female,55,2,2,2,2,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3
363,Male,52,4,2,3,2,2,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3
364,Male,36,4,3,2,2,2,4,4,3,4,3,2,2,3,3,2,3,3,3,3,3,2
365,Female,22,2,2,3,2,2,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
366,Female,24,2,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
367,Male,56,4,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2
368,Male,21,2,3,4,3,4,5,5,4,4,2,2,2,2,4,4,4,4,3,3,3,3
369,Female,53,1,3,2,2,2,4,3,4,4,2,2,2,2,3,3,3,3,3,2,2,3
370,Male,38,3,4,4,4,4,4,3,3,3,3,1,2,2,3,3,3,2,2,3,2,2
371,Female,56,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3
372,Male,57,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,4,3,4,4,4
373,Male,41,1,4,5,4,5,2,2,2,2,3,3,3,3,2,3,3,2,2,3,3,2
374,Female,28,2,4,3,4,4,3,3,3,3,2,3,2,2,3,3,3,3,2,3,3,3
375,Male,45,4,1,2,2,2,3,2,3,3,1,2,2,2,2,2,2,1,2,2,2,1
376,Male,52,3,3,2,3,3,4,4,4,4,2,2,2,3,4,4,4,4,3,4,3,3
377,Female,55,3,4,4,4,4,3,3,3,3,3,2,3,3,4,3,3,4,3,3,3,3
378,Female,50,1,2,2,2,1,2,2,2,2,4,4,4,5,2,2,3,2,3,3,3,3
379,Female,53,2,3,3,3,2,3,3,3,2,4,4,4,4,3,3,3,4,4,4,4,3
380,Female,49,3,3,3,3,2,5,5,5,5,2,1,2,2,3,3,3,3,2,3,3,2
381,Male,58,4,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,3,4,3,4,4
382,Female,42,4,3,4,4,4,2,2,2,2,1,1,1,2,2,3,2,2,2,3,2,2
383,Male,36,4,3,4,3,3,4,4,4,3,3,2,2,2,4,4,3,4,3,3,3,3
384,Female,20,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,2,3,3,3
385,Male,54,3,4,4,4,4,3,2,3,3,3,3,3,3,4,3,3,3,3,3,4,3
386,Female,59,1,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
387,Female,20,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,2,3,4,3,4
388,Female,22,4,3,2,3,3,4,4,4,4,2,2,2,2,3,2,3,3,3,3,3,3
389,Male,36,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
390,Male,36,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3
391,Male,57,2,3,3,2,2,4,4,4,5,2,2,2,2,3,3,3,3,3,3,4,4
392,Female,58,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
393,Female,25,3,3,3,3,3,3,3,4,3,2,2,2,2,3,3,3,3,3,2,2,3
394,Male,41,3,3,3,3,3,3,4,3,4,4,4,4,3,3,3,4,3,3,4,4,4
395,Female,28,1,4,4,3,3,3,3,3,2,4,4,3,4,3,4,3,4,4,4,4,4
396,Female,19,4,2,2,2,2,3,3,2,3,4,3,4,3,3,2,3,2,3,3,3,2
397,Female,43,4,4,3,4,3,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,2
398,Female,28,2,1,2,1,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,3,2
399,Male,56,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,4,3,2,3,3
400,Female,41,4,3,4,4,4,4,4,4,4,3,3,3,2,4,4,4,3,3,4,3,3
401,Male,58,2,3,3,3,3,1,2,1,2,2,2,2,2,2,3,2,2,2,3,2,3
402,Male,57,2,2,2,2,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3
403,Male,30,3,3,3,3,2,2,3,2,2,4,4,3,4,3,3,3,3,3,3,3,3
404,Male,29,2,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,4
405,Male,38,3,1,1,2,1,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2
406,Male,55,2,4,4,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3
407,Male,30,3,4,4,3,4,2,3,2,3,1,2,2,1,2,2,2,2,2,2,2,2
408,Male,30,2,4,4,3,4,5,5,5,5,4,3,3,3,4,4,4,4,4,3,4,4
409,Female,53,1,2,3,2,3,3,3,4,3,5,5,5,5,3,3,3,4,4,4,4,4
410,Female,40,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3
411,Male,30,3,3,3,4,3,2,2,2,2,2,3,2,2,2,3,3,2,3,2,2,2
412,Female,31,1,2,3,3,3,2,1,2,2,2,2,2,1,3,2,2,2,2,2,2,2
413,Female,21,3,3,3,3,3,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4
414,Female,40,4,4,4,4,4,5,5,5,5,2,2,3,3,5,4,4,4,4,4,4,4
415,Male,19,2,3,4,3,3,4,4,4,5,3,3,3,3,4,4,4,4,3,3,4,4
416,Female,31,2,4,4,3,4,4,5,4,5,3,4,4,3,5,5,5,4,4,4,4,4
417,Female,33,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
418,Female,21,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
419,Female,31,1,2,3,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,3,3,3
420,Male,50,2,4,4,5,4,4,4,4,4,2,2,3,2,3,4,3,4,3,3,3,3
421,Male,39,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2
422,Female,46,1,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,1
423,Male,24,2,3,4,4,3,3,3,3,2,3,4,4,3,3,4,3,3,3,4,3,4
424,Male,26,1,2,2,2,3,3,3,2,2,2,2,3,3,3,2,2,2,3,3,2,2
425,Male,54,1,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3
426,Female,56,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3,3
427,Female,25,1,3,4,3,4,4,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3
428,Male,20,4,2,2,3,3,4,4,4,4,3,2,3,2,3,3,3,3,3,3,3,3
429,Female,34,3,2,2,2,2,4,4,4,3,2,3,2,2,2,2,2,2,3,3,3,3
430,Male,27,3,4,4,4,4,4,3,4,4,3,2,3,2,3,4,3,4,3,3,3,3
431,Male,43,4,3,4,4,3,2,2,3,2,3,4,3,4,3,3,3,3,3,3,3,3
432,Male,45,3,3,3,3,3,2,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2
433,Female,28,3,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3
434,Male,51,4,2,2,2,1,2,2,2,2,3,3,3,3,2,1,2,1,2,2,2,2
435,Male,45,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
436,Female,18,3,2,2,2,3,4,4,5,4,3,2,3,3,4,3,3,4,3,3,3,3
437,Male,24,4,4,3,3,3,1,2,2,2,3,3,3,3,3,2,3,2,3,3,2,2
438,Female,47,2,2,3,3,2,3,4,3,4,4,3,3,3,3,3,3,3,2,3,3,3
439,Female,37,4,2,2,2,3,4,4,4,4,2,2,3,3,2,3,3,3,3,2,2,3
440,Male,28,2,3,2,2,2,2,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3
441,Male,41,2,3,2,3,2,2,1,2,2,4,3,4,3,2,2,2,2,2,2,2,3
442,Male,23,4,4,4,5,4,4,4,3,4,3,3,3,3,4,3,4,4,4,3,4,4
443,Female,45,2,2,1,2,2,3,4,4,4,2,1,2,2,3,3,3,3,2,3,3,2
444,Female,49,2,4,4,4,4,2,2,2,2,4,4,5,4,4,4,4,4,4,4,4,4
445,Female,32,1,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
446,Female,18,2,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,3,3,3,2,2
447,Male,42,2,3,3,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,2,3
448,Male,25,4,2,2,2,1,2,1,2,1,2,2,2,3,2,2,2,1,2,2,2,2
449,Female,28,3,3,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3
450,Female,54,2,3,3,3,3,4,4,4,4,2,2,2,2,3,4,3,3,2,3,3,3
451,Male,35,2,4,4,3,4,3,3,3,3,4,4,4,3,3,3,4,4,4,3,4,3
452,Female,56,3,1,2,2,1,2,3,3,3,3,2,3,3,2,3,2,2,2,2,2,3
453,Male,20,4,3,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2
454,Male,45,1,3,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,2
455,Male,59,3,3,3,3,3,4,3,4,4,1,1,1,1,2,2,3,3,2,2,2,2
456,Female,40,2,3,3,3,3,4,3,4,4,3,3,3,3,3,3,4,3,3,2,3,3
457,Male,29,1,5,5,5,5,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3
458,Female,44,1,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3
459,Male,31,1,3,2,3,3,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3
460,Female,52,1,3,2,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3
461,Male,30,3,2,2,2,2,4,5,5,4,2,3,2,3,3,2,3,3,3,2,3,2
462,Female,58,3,4,4,4,4,5,4,5,4,3,2,2,3,4,4,3,4,3,3,3,4
463,Female,43,1,3,3,2,3,1,3,2,2,3,3,3,3,2,2,2,2,2,3,2,3
464,Female,50,3,1,1,1,1,4,4,4,4,3,2,3,3,3,3,3,3,3,2,3,3
465,Male,37,1,2,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3
466,Female,57,4,4,4,4,4,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3
467,Male,59,2,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,3,4,4
468,Female,35,4,4,3,4,3,4,4,4,3,2,1,1,1,3,2,3,3,2,2,2,3
469,Female,51,2,2,2,2,2,3,3,3,4,2,3,3,3,4,3,3,3,3,3,3,3
470,Female,27,4,2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3
471,Male,42,2,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3
472,Female,24,2,4,5,4,4,3,2,3,2,3,3,3,2,3,3,3,3,2,3,3,3
473,Male,39,4,4,3,3,4,4,3,4,4,3,3,3,2,4,3,3,4,3,3,3,3
474,Male,46,2,4,4,4,4,3,3,4,4,3,3,3,3,3,4,3,4,4,3,3,3
475,Male,52,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
476,Female,29,1,3,3,4,3,1,1,1,2,4,3,4,3,2,2,2,2,3,3,3,3
477,Male,53,3,4,3,4,4,3,3,4,3,4,4,4,4,3,3,4,4,4,3,4,3
478,Female,55,3,3,2,3,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2
479,Male,54,4,2,1,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
480,Male,40,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,3,4,3
481,Male,26,2,2,2,2,2,2,1,2,1,4,4,4,4,2,3,2,2,3,3,3,3
482,Female,29,4,3,3,4,4,4,4,3,3,3,4,3,3,3,3,4,4,3,3,4,3
483,Male,20,4,3,2,2,3,3,3,3,3,4,4,4,5,3,4,3,3,3,4,4,4
484,Male,46,4,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2
485,Male,60,4,2,2,3,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3
486,Female,22,4,3,3,3,3,2,2,2,2,5,5,4,4,3,4,4,4,4,4,4,4
487,Female,31,4,4,3,4,3,2,3,3,2,4,3,4,4,3,3,3,3,3,3,3,3
488,Female,27,1,2,2,2,2,2,2,2,2,4,4,3,3,3,2,2,2,3,3,2,3
489,Male,44,2,2,3,3,2,2,2,2,2,3,4,4,3,2,3,3,2,3,3,3,2
490,Male,58,4,2,2,2,1,4,4,4,4,3,3,3,3,3,3,3,3,2,4,3,3
491,Female,27,3,3,3,3,3,2,1,2,1,4,3,4,4,3,3,3,2,3,3,3,3
492,Male,45,4,3,3,3,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,2,3
493,Female,33,1,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,2
494,Female,37,1,3,3,3,2,3,4,4,4,2,2,2,2,3,3,3,3,3,2,2,2
495,Male,33,4,2,3,2,2,3,3,3,3,4,4,4,4,3,2,3,3,3,3,3,3
496,Female,22,1,5,5,5,5,3,3,3,3,2,2,2,1,3,3,3,3,2,3,3,3
497,Male,43,1,2,2,2,2,3,4,4,3,2,3,3,2,3,3,3,3,3,3,3,3
498,Male,38,1,3,2,2,3,4,4,4,3,2,3,2,3,3,3,3,3,3,3,2,3
499,Female,31,3,3,3,3,3,3,3,4,4,3,2,2,3,3,2,2,3,4,3,3,3
500,Male,19,4,4,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2
